"x_coord [mm]","y_coord [mm]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
750,-1750,6.24,0.000198103111927707,-78.3944150131522,0.00172282090346583,-125.326286670356
750,-1750,6.241,0.000219517023815355,-103.164523730282,0.00172769447461866,-125.231989093087
750,-1750,6.242,0.000256063164961636,-124.408755508318,0.00175159454336534,-125.390735680647
750,-1750,6.243,0.000302565910737974,-142.136653996132,0.00179002130464754,-125.964485599391
750,-1750,6.244,0.000354712530074996,-157.178522722347,0.00183757552458507,-127.01767274142
750,-1750,6.245,0.000409388158966816,-170.327535679829,0.00188909693321883,-128.530471645957
750,-1750,6.246,0.000464321724080344,177.856049721821,0.00194046278886953,-130.429048938925
750,-1750,6.247,0.000517775655585217,167.011746332699,0.00198897820500056,-132.616563285802
750,-1750,6.248,0.000568381996124382,156.916303808112,0.00203342114066601,-134.997190972363
750,-1750,6.249,0.000615081841917701,147.436042802399,0.00207383638456774,-137.491939308196
750,-1750,6.25,0.00065712344255199,138.495505566876,0.00211116299332102,-140.047378645458
750,-1750,6.251,0.000694089717098584,130.057005269595,0.00214677057820334,-142.638401727416
750,-1750,6.252,0.000725935702309994,122.106332486537,0.00218198264342952,-145.2656415296
750,-1750,6.253,0.000753019984443979,114.641340167215,0.00221767109877336,-147.948283927579
750,-1750,6.254,0.000776113707625585,107.661331877332,0.002253999349165,-150.713794582088
750,-1750,6.255,0.000796369015350689,101.156286032606,0.00229036250805045,-153.5869509513
750,-1750,6.256,0.000815229297429552,95.0962554806343,0.00232552688885284,-156.580789347923
750,-1750,6.257,0.000834270936349649,89.4228192511167,0.00235792373259631,-159.691362682519
750,-1750,6.258,0.000854983965387677,84.0456978650277,0.00238602149539979,-162.896950103232
750,-1750,6.259,0.000878525303074138,78.8474802304893,0.00240869327176082,-166.161243798217
750,-1750,6.26,0.000905501728769024,73.6970036481523,0.00242550597932938,-169.439463235216
750,-1750,6.261,0.00093584351314631,68.4680313609569,0.00243687592317367,-172.68624701814
750,-1750,6.262,0.00096880466206,63.057042902723,0.00244405581944216,-175.864199042609
750,-1750,6.263,0.00100308282549013,57.394463327726,0.00244894181598078,-178.951819566921
750,-1750,6.264,0.00103701522485844,51.4471121364099,0.00245371994240866,178.050790041122
750,-1750,6.265,0.00106879392827382,45.2134251045219,0.00246041114831469,175.120260807506
750,-1750,6.266,0.00109665376112016,38.7149050931215,0.00247041401183674,172.213656618862
750,-1750,6.267,0.00111900682573146,31.9870775734661,0.00248416487365506,169.277403718679
750,-1750,6.268,0.00113451752635237,25.0720209074712,0.00250101627878386,166.259307598244
750,-1750,6.269,0.00114212598423351,18.0133315340529,0.00251937329773828,163.120115592457
750,-1750,6.27,0.00114103547815405,10.8536042107161,0.00253704726278452,159.841254249798
750,-1750,6.271,0.00113068235808421,3.63414989613958,0.00255172407554471,156.427002486862
750,-1750,6.272,0.00111070600217585,-3.60341377517799,0.00256142355383477,152.901377121244
750,-1750,6.273,0.00108093273762798,-10.8140047181581,0.00256484558872129,149.301347980279
750,-1750,6.274,0.00104138232084326,-17.944498738312,0.00256153992027263,145.668366958211
750,-1750,6.275,0.00099229996728922,-24.9276192156891,0.00255188056516787,142.039946158763
750,-1750,6.276,0.000934212771316841,-31.6737876512108,0.00253686397856915,138.442641760396
750,-1750,6.277,0.00086800831989482,-38.0598733696228,0.00251777978890355,134.887523181894
750,-1750,6.278,0.000795036772511945,-43.9131046622928,0.00249582456457404,131.368963478375
750,-1750,6.279,0.000717246511332494,-48.9879720400181,0.00247174024172035,127.86716824864
750,-1750,6.28,0.000637376908379704,-52.9354254491189,0.00244555504544452,124.35416057273
750,-1750,6.281,0.000559240683023212,-55.2731131998984,0.00241648314453266,120.802116297624
750,-1750,6.282,0.000488087740675572,-55.4004104147868,0.00238300367626679,117.192383624327
750,-1750,6.283,0.000430801592434615,-52.7888571192579,0.00234310128314973,113.523549493946
750,-1750,6.284,0.000395021117980733,-47.5361148341384,0.00229462234397705,109.817529860936
750,-1750,6.285,0.000385941135705346,-41.017353011288,0.00223569129196425,106.123495813281
750,-1750,6.286,0.00040232995296687,-35.4486037657911,0.00216513813943086,102.520031652375
750,-1750,6.287,0.000436762347726265,-32.3413736102679,0.00208290312502475,99.115907224368
750,-1750,6.288,0.00048000393045527,-31.8908787643705,0.00199039656171142,96.0490488799912
750,-1750,6.289,0.000524347060548824,-33.5728019023001,0.00189079123605963,93.4815362362246
750,-1750,6.29,0.000564380830967,-36.7361628762855,0.00178919917105906,91.5856311124855
750,-1750,6.291,0.000596659126368364,-40.8231242698169,0.00169262147797449,90.5127333829319
750,-1750,6.292,0.000619277749236086,-45.3920988898741,0.00160946205771335,90.3376919814364
750,-1750,6.293,0.000631605655354365,-50.0877781404071,0.00154833802164655,90.9843206516061
750,-1750,6.294,0.000634147013759929,-54.6103490671174,0.00151610958299698,92.1705713615991
750,-1750,6.295,0.000628465965541148,-58.6981170848556,0.00151566687213864,93.4379192049864
750,-1750,6.296,0.00061710489371328,-62.1286195278879,0.00154465534397953,94.288179017365
750,-1750,6.297,0.000603419416175449,-64.7422005620338,0.00159603031006489,94.3494781335348
750,-1750,6.298,0.00059124117406438,-66.4874328716436,0.00166006316747883,93.4609435392623
750,-1750,6.299,0.000584302002546475,-67.471654817156,0.00172658652957505,91.6515164077954
750,-1750,6.3,0.000585473719621223,-67.9761916024125,0.00178660380011621,89.0689400818741
750,-1750,6.301,0.000596089458091584,-68.3953973871061,0.00183312125741551,85.914442157727
750,-1750,6.302,0.000615717839022361,-69.1114619929493,0.0018614369624078,82.402790059328
750,-1750,6.303,0.000642542677629997,-70.3799427489682,0.00186913934288456,78.7443115119505
750,-1750,6.304,0.00067411643414666,-72.2912292019345,0.00185597382510115,75.139892010358
750,-1750,6.305,0.00070810053130362,-74.8046581310657,0.00182365875483425,71.7816258995361
750,-1750,6.306,0.000742751096976608,-77.8107710373656,0.0017756911284349,68.8540724329972
750,-1750,6.307,0.000777110117830159,-81.1864654112096,0.00171715967127028,66.5319201606414
750,-1750,6.308,0.000810960677561467,-84.8312327596965,0.00165455566008143,64.9693383422779
750,-1750,6.309,0.000844619969148802,-88.6855982417798,0.00159552396463352,64.275695720626
750,-1750,6.31,0.000878637181418652,-92.7354801002199,0.00154842966397821,64.4749833273261
750,-1750,6.311,0.000913463426631568,-97.0055191476102,0.00152157696982603,65.4573806523141
750,-1750,6.312,0.000949163732685199,-101.544552916816,0.00152201975907588,66.9512223205577
750,-1750,6.313,0.000985232130168914,-106.407613383712,0.00155422376700611,68.5536648651297
750,-1750,6.314,0.00102054304938629,-111.639475686737,0.00161917632101465,69.8286031314325
750,-1750,6.315,0.00105343418797022,-117.263604620503,0.00171443927418901,70.4225860162833
750,-1750,6.316,0.00108188491969065,-123.277751122038,0.00183504904744406,70.131478370859
750,-1750,6.317,0.00110374177312422,-129.654986889707,0.00197469042916856,68.8971638629117
750,-1750,6.318,0.0011169474932206,-136.34778272612,0.00212663666206394,66.7636339793222
750,-1750,6.319,0.0011197436885383,-143.292865945393,0.00228430135482259,63.8290788473931
750,-1750,6.32,0.00111083052727595,-150.415377387206,0.00244149642765568,60.2118452329974
750,-1750,6.321,0.00108947634563211,-157.631654221803,0.00259254692899387,56.0317655616021
750,-1750,6.322,0.00105557537820234,-164.850487920022,0.00273237192056818,51.4021456455573
750,-1750,6.323,0.00100965476738679,-171.972914248809,0.00285658363141335,46.4275465109581
750,-1750,6.324,0.00095283427740908,-178.890550989179,0.00296161483915879,41.2040781610367
750,-1750,6.325,0.000886744940922215,174.517743139473,0.00304485931176617,35.8203729800192
750,-1750,6.326,0.000813417026687829,168.391578085042,0.00310479792544104,30.3583324191317
750,-1750,6.327,0.000735153978778356,162.898585979001,0.00314107983066976,24.8932464312243
750,-1750,6.328,0.000654418431527975,158.250542278493,0.00315453136482755,19.4931433900616
750,-1750,6.329,0.000573770972936955,154.730402086965,0.00314707347045815,14.2173743761705
750,-1750,6.33,0.000495924435899897,152.735011657701,0.00312153975879092,9.11456171003709
750,-1750,6.331,0.000424003904126268,152.829274294657,0.00308140092852849,4.22019965557673
750,-1750,6.332,0.000362096092463759,155.758211803975,0.00303041605736306,-0.445601733305628
750,-1750,6.333,0.000315929172333948,162.203769771945,0.00297224631301776,-4.8795354555326
750,-1750,6.334,0.000292564475235436,171.903561876013,0.00291007965518434,-9.09488814178501
750,-1750,6.335,0.000297080529626171,-177.379079543664,0.00284632251110418,-13.1190599456314
750,-1750,6.336,0.000328149013876664,-168.771136066625,0.00278241128081441,-16.9886450120042
750,-1750,6.337,0.000379010860675219,-163.826781656158,0.00271877963676623,-20.7426136753043
750,-1750,6.338,0.000442159654991319,-162.329128507319,0.00265498833742686,-24.4148034345878
750,-1750,6.339,0.000511643480412835,-163.470739812558,0.00258999071441304,-28.0272174884851
750,-1750,6.34,0.000582979730592673,-166.509612109278,0.00252247998777011,-31.5853990377421
750,-1750,6.341,0.000652588736528573,-170.897172468246,0.00245125253855032,-35.0765456354293
750,-1750,6.342,0.000717431902913192,-176.242312831786,0.00237552537494459,-38.4703767248251
