"inc_ang [deg]","Freq [GHz]","mag(S(rx1_p1,tx_p1)) []","ang_deg(S(rx1_p1,tx_p1)) [deg]","mag(S(rx2_p1,tx_p1)) []","ang_deg(S(rx2_p1,tx_p1)) [deg]"
-90,6.24,0.00546294551642789,-12.7020804508659,0.000430030434422265,-3.76435014215413
-90,6.241,0.0054651046098816,-15.3712780068454,0.000430263661346862,-6.45614784988727
-90,6.242,0.00546725595166678,-18.0405192437951,0.000430496016720177,-9.147981043311
-90,6.243,0.00546939953040636,-20.7098039671049,0.000430727499845643,-11.8398495326725
-90,6.244,0.00547153533418384,-23.3791319604936,0.000430958110011679,-14.5317531269883
-90,6.245,0.00547366335237032,-26.048503016298,0.000431187846274156,-17.2236916383817
-90,6.246,0.00547578357402604,-28.7179169243538,0.000431416708020312,-19.9156648789243
-90,6.247,0.00547789598833029,-31.3873734827154,0.000431644694349767,-22.6076726683022
-90,6.248,0.00548000058513532,-34.0568724831519,0.00043187180460181,-25.2997148079422
-90,6.249,0.00548209735307507,-36.7264137174603,0.000432098038010471,-27.9917911074666
-90,6.25,0.00548418628128928,-39.3959969845487,0.000432323393884894,-30.6839014026922
-90,6.251,0.00548626735910186,-42.0656220730469,0.000432547871307185,-33.3760454872532
-90,6.252,0.00548834057498445,-44.7352887834927,0.000432771469701036,-36.0682231920959
-90,6.253,0.00549040591971068,-47.4049969062295,0.000432994188276544,-38.7604343101765
-90,6.254,0.0054924633827183,-50.0747462304818,0.00043321602621253,-41.4526786915867
-90,6.255,0.00549451295267354,-52.744536575547,0.000433436982859605,-44.1449561338061
-90,6.256,0.00549655462021088,-55.4143677207862,0.000433657057465124,-46.837266456846
-90,6.257,0.00549858837343891,-58.0842394697238,0.000433876249382395,-49.5296094731006
-90,6.258,0.00550061420319409,-60.7541516073045,0.000434094557764487,-52.2219850185292
-90,6.259,0.00550263209894312,-63.4241039439491,0.000434311981857348,-54.9143929029549
-90,6.26,0.00550464204957685,-66.0940962780057,0.00043452852106143,-57.6068329476341
-90,6.261,0.00550664404610381,-68.764128398349,0.000434744174673951,-60.2993049656242
-90,6.262,0.00550863807767051,-71.4342001091327,0.000434958941897515,-62.9918087894907
-90,6.263,0.00551062413362991,-74.1043112189669,0.000435172822055242,-65.6843442337528
-90,6.264,0.00551260220559414,-76.7744615110737,0.000435385814441644,-68.3769111313063
-90,6.265,0.00551457228218937,-79.4446507914223,0.000435597918356817,-71.0695092904937
-90,6.266,0.00551653435342838,-82.1148788671579,0.000435809133125094,-73.7621385587962
-90,6.267,0.00551848841106025,-84.7851455335218,0.00043601945803575,-76.4547987234022
-90,6.268,0.00552043444304509,-87.4554505907196,0.000436228892345739,-79.1474896469186
-90,6.269,0.0055223724397229,-90.1257938409218,0.00043643743544074,-81.8402111337312
-90,6.27,0.00552430239344863,-92.7961750877341,0.000436645086604884,-84.5329630164171
-90,6.271,0.00552622429218278,-95.4665941320821,0.000436851845249803,-87.2257451199349
-90,6.272,0.00552813812725076,-98.1370507761333,0.00043705771053801,-89.9185572702288
-90,6.273,0.00553004388950836,-100.80754482881,0.000437262681844785,-92.6113992970664
-90,6.274,0.00553194156820885,-103.478076083453,0.000437466758569331,-95.304271026688
-90,6.275,0.00553383115475591,-106.148644344441,0.000437669940021728,-97.9971722887993
-90,6.276,0.00553571263870879,-108.819249419398,0.000437872225395226,-100.690102914294
-90,6.277,0.00553758601257758,-111.489891121067,0.000438073614221633,-103.383062728492
-90,6.278,0.00553945126483487,-114.160569241831,0.000438274105810082,-106.076051558936
-90,6.279,0.00554130838591732,-116.831283592632,0.000438473699393438,-108.769069256571
-90,6.28,0.00554315736824659,-119.502033974334,0.000438672394411459,-111.462115628113
-90,6.281,0.00554499820194,-122.172820197706,0.000438870190278226,-114.155190513204
-90,6.282,0.0055468308778057,-124.843642061057,0.000439067086126658,-116.848293750138
-90,6.283,0.00554865538692617,-127.514499379567,0.000439263081525104,-119.541425162854
-90,6.284,0.00555047171897765,-130.185391956566,0.000439458175719333,-122.234584593229
-90,6.285,0.00555227986625318,-132.856319606302,0.000439652368185527,-124.927771866791
-90,6.286,0.00555407981910697,-135.527282126525,0.000439845658190073,-127.620986816714
-90,6.287,0.00555587156858912,-138.19827931991,0.000440038045089966,-130.314229303171
