Scenario,Combo,S1_Polarization,S2_Polarization,S2_Corr,S2_Valid_For_Positioning,DoA_Gate_Disabled,S1_RMSE_m,S2_RMSE_deg,Pos_RMSE_m,Pos_P90_m,Pos_CEP95_m,Delta_vs_LP_S1_LP_S2_m,Delta_vs_CP_S1_CP_S2_m
A,CP_S1_CP_S2,CP,CP,0.905565493099546,1,1,0.330379771403283,13.5438927279385,0.4705287300822,0.735809507722262,0.939836146688261,-1.98016895396533,0
A,LP_S1_LP_S2,LP,LP,NaN,0,1,0.393682324100574,44.0369876190091,2.45069768404753,4.02210119711316,4.51969881243776,0,1.98016895396533
A,CP_S1_LP_S2,CP,LP,NaN,0,1,0.330379771403283,44.0369876190091,2.38602589894155,3.79062789373399,4.13593589367048,-0.0646717851059844,1.91549716885935
A,LP_S1_CP_S2,LP,CP,0.905565493099546,1,1,0.393682324100574,13.5438927279385,0.500034916364436,0.950502001682522,1.10633929076551,-1.9506627676831,0.0295061862822358
B,CP_S1_CP_S2,CP,CP,0.933844703511786,1,1,0.329396446371854,10.4652731221856,0.528912993196176,0.732020556342382,0.893412573780887,-1.92605425720611,0
B,LP_S1_LP_S2,LP,LP,NaN,0,1,0.354462396165267,44.0369876190091,2.45496725040228,4.10055729003035,4.46290902852431,0,1.92605425720611
B,CP_S1_LP_S2,CP,LP,NaN,0,1,0.329396446371854,44.0369876190091,2.396459474534,3.79294276265321,4.13369013929721,-0.0585077758682848,1.86754648133782
B,LP_S1_CP_S2,LP,CP,0.933844703511786,1,1,0.354462396165267,10.4652731221856,0.550672633792688,0.88921627026011,1.25620975117852,-1.90429461660959,0.021759640596512
C,CP_S1_CP_S2,CP,CP,0.901654565181588,1,1,0.39706193635643,12.2707849780551,0.748320328977524,1.25831503291537,1.48193951677309,-1.69558221718766,0
C,LP_S1_LP_S2,LP,LP,NaN,0,1,0.423016176170653,44.0369876190091,2.44390254616519,3.96793261085167,4.25153605073785,0,1.69558221718766
C,CP_S1_LP_S2,CP,LP,NaN,0,1,0.39706193635643,44.0369876190091,2.42060992528889,3.7666614101033,4.17408573018232,-0.023292620876298,1.67228959631137
C,LP_S1_CP_S2,LP,CP,0.901654565181588,1,1,0.423016176170653,12.2707849780551,0.759737682168612,1.36635374567143,1.58670612710965,-1.68416486399658,0.0114173531910876
