IncBinCenter_deg,N,StdResidual_Old_dB,StdResidual_New_dB,RMSE_Old_dB,RMSE_New_dB
-87.5,0,NaN,NaN,NaN,NaN
-82.5,0,NaN,NaN,NaN,NaN
-77.5,0,NaN,NaN,NaN,NaN
-72.5,0,NaN,NaN,NaN,NaN
-67.5,3,0.456055035621849,0.456055035621849,6.11762784729344,0.715381704194241
-62.5,0,NaN,NaN,NaN,NaN
-57.5,3,0.190031310552756,0.190031310552756,4.82590605237246,1.77769298658118
-52.5,0,NaN,NaN,NaN,NaN
-47.5,3,6.72041644714209,6.72041644714209,7.35918355334138,6.87179810113136
-42.5,3,0.0488890670758209,0.0488890670758209,5.14429220228029,4.99113824445443
-37.5,6,2.47129308017005,2.4879198835851,2.25598094958992,2.28257293258983
-32.5,3,1.36292026036609,1.36292026036609,1.66563149103223,1.5326590045833
-27.5,9,1.08297335316914,1.0631425738668,1.48140530158613,1.41282866174199
-22.5,6,1.49659746605728,1.4725071920337,1.48504341835327,1.43101358903051
-17.5,15,2.32330115357827,2.31829547716337,2.39604359865051,2.32386159004351
-12.5,9,3.3695090598101,3.37088158601446,3.47682341357741,3.35524257071029
-7.5,12,1.13784129262543,1.13453073790738,1.32128643878005,1.13959261851244
-2.5,12,1.07084716668024,1.0713252915815,1.52908436176664,1.24862994357152
2.5,12,2.35245207555657,2.34274755003919,2.3673250018959,2.27679903084102
7.5,12,2.30070518889982,2.31980745334183,2.20278199514711,2.22881414475697
12.5,9,1.37042412410727,1.36723273275974,1.49407365868345,1.48504188375451
17.5,15,1.31952530384453,1.31328211557579,1.36781940467428,1.27882072643342
22.5,6,1.09634892571496,1.07298904718909,1.06265744067849,1.03158197219985
27.5,9,1.16406160078972,1.18275025102181,1.76794983014134,1.12839171978266
32.5,3,1.76638775232769,1.76638775232769,2.05376958730752,1.45243478371541
37.5,6,0.629728316849939,0.581967132832971,3.91422110745049,1.06929035717722
42.5,0,NaN,NaN,NaN,NaN
47.5,6,0.822635018571227,0.504115854037236,5.13124804644602,0.77295849800757
52.5,0,NaN,NaN,NaN,NaN
57.5,3,0.0794201492269894,0.0794201492269894,8.75206904771535,1.98682754884405
62.5,0,NaN,NaN,NaN,NaN
67.5,3,0.12633005935357,0.12633005935357,11.7841957053651,3.50672593060354
72.5,0,NaN,NaN,NaN,NaN
77.5,0,NaN,NaN,NaN,NaN
82.5,0,NaN,NaN,NaN,NaN
87.5,0,NaN,NaN,NaN,NaN
