Threshold,SearchStart_m,Polarization,Scenario,Ranging_RMSE_m,Ranging_Bias_m,Ranging_MAE_m,Ranging_P90AbsErr_m
0.03,0,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.03,0.1,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0.1,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0.1,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0.1,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0.1,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0.1,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.03,0.2,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0.2,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0.2,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0.2,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0.2,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0.2,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.03,0.3,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0.3,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0.3,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0.3,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0.3,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0.3,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.03,0.4,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0.4,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0.4,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0.4,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0.4,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0.4,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.03,0.5,CP,A,0.330379771403283,0.137401471961262,0.231779656460587,0.385317801743695
0.03,0.5,CP,B,0.329396446371854,0.158327811246977,0.248893045090908,0.379124235527028
0.03,0.5,CP,C,0.39706193635643,0.171406773300548,0.302070392025897,0.557691037661302
0.03,0.5,LP,A,0.69660027280068,0.423503766883137,0.528826941581576,1.29335807330679
0.03,0.5,LP,B,0.667038511903204,0.337836565432244,0.473397563328783,1.22506411488032
0.03,0.5,LP,C,0.713125550850386,0.41761823395903,0.53686300134009,1.29156757246739
0.05,0,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.05,0,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.05,0.1,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0.1,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0.1,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.05,0.1,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0.1,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0.1,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.05,0.2,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0.2,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0.2,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.05,0.2,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0.2,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0.2,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.05,0.3,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0.3,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0.3,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
0.05,0.3,LP,A,0.652922006544369,0.465683419505905,0.486647288958808,1.1936409699702
0.05,0.3,LP,B,0.601838888060305,0.410751778880905,0.412638361901598,1.17054614691569
0.05,0.3,LP,C,0.684178549724671,0.488244629048316,0.504617404911106,1.19984302191569
0.05,0.4,CP,A,0.216376871598692,0.185466657508137,0.185466657508137,0.317582971339852
0.05,0.4,CP,B,0.22609481529754,0.203450230331798,0.203943948930882,0.310364054925445
0.05,0.4,CP,C,0.289197199144803,0.244321986749209,0.248824362180615,0.48293585768733
