Window_ns,Scenario,CP_MRR_dB,LP_MRR_dB,Delta_CP_minus_LP_MRR_dB,CP_MRR_LoS_dB,CP_MRR_NLoS_dB,LP_MRR_LoS_dB,LP_MRR_NLoS_dB,CP_Sharpness_dB,LP_Sharpness_dB,Delta_CP_minus_LP_Sharpness_dB
1,A,-5.78134102530137,-8.0561046287594,2.27476360345803,-5.78134102530137,NaN,-8.0561046287594,NaN,28.1034139825084,24.4475939233717,3.65582005913667
1,B,-6.06789386752186,-8.52362112211339,2.45572725459153,-6.35699140585868,-5.58606463696049,-9.00268673433387,-7.72517843507925,27.6379565721749,23.9056326453945,3.7323239267804
1,C,-7.09568529865896,-8.89688304138974,1.80119774273078,-7.29373569163993,-6.97685506287037,-8.18500216309939,-9.32401156836394,25.9693044450766,23.4763079018944,2.49299654318224
1.5,A,-4.39366860348759,-6.6343252826679,2.24065667918031,-4.39366860348759,NaN,-6.6343252826679,NaN,28.1034139825084,24.4475939233717,3.65582005913667
1.5,B,-4.68095588456319,-7.09048280788223,2.40952692331904,-4.98251709574459,-4.17835386592753,-7.51399707746492,-6.38462569191106,27.6379565721749,23.9056326453945,3.7323239267804
1.5,C,-5.66829636242656,-7.44269748570867,1.77440112328212,-5.85010490908713,-5.55921123443021,-6.7926279708272,-7.83273919463756,25.9693044450766,23.4763079018944,2.49299654318224
2,A,-3.8056147908486,-5.98957155531324,2.18395676446463,-3.8056147908486,NaN,-5.98957155531324,NaN,28.1034139825084,24.4475939233717,3.65582005913667
2,B,-4.09328183332736,-6.4307293580595,2.33744752473214,-4.40637254496072,-3.5714639806051,-6.78798549317139,-5.83530246620633,27.6379565721749,23.9056326453945,3.7323239267804
2,C,-5.02991373981119,-6.71007791310885,1.68016417329767,-5.18285661677455,-4.93814801363316,-6.11218350776347,-7.06881455631608,25.9693044450766,23.4763079018944,2.49299654318224
3,A,-3.40354422295021,-5.27868999732614,1.87514577437593,-3.40354422295021,NaN,-5.27868999732614,NaN,28.1034139825084,24.4475939233717,3.65582005913667
3,B,-3.67006645451232,-5.73407790039916,2.06401144588684,-3.97340230680033,-3.16450670069897,-5.9286866120779,-5.40973004760125,27.6379565721749,23.9056326453945,3.7323239267804
3,C,-4.49494047053069,-5.74755855231484,1.25261808178414,-4.52707475773394,-4.47565989820874,-5.1553405527198,-6.10288935207185,25.9693044450766,23.4763079018944,2.49299654318224
5,A,-3.12611418990125,-3.95083794561812,0.824723755716877,-3.12611418990125,NaN,-3.95083794561812,NaN,28.1034139825084,24.4475939233717,3.65582005913667
5,B,-3.27464009339297,-4.43256933226418,1.15792923887121,-3.41086376188458,-3.04760064590696,-4.33794334613763,-4.59027930914176,27.6379565721749,23.9056326453945,3.7323239267804
5,C,-3.95127542692373,-4.15299806708727,0.201722640163533,-3.72008781718642,-4.08998799276612,-3.67054083034409,-4.44247240913317,25.9693044450766,23.4763079018944,2.49299654318224
7,A,-2.94454792549806,-3.2361210422037,0.291573116705639,-2.94454792549806,NaN,-3.2361210422037,NaN,28.1034139825084,24.4475939233717,3.65582005913667
7,B,-3.01995205994415,-3.44719666849093,0.427244608546781,-3.04917366943401,-2.97124937746103,-3.35373499684758,-3.60296612122984,27.6379565721749,23.9056326453945,3.7323239267804
7,C,-3.56344163107423,-3.39777899506082,-0.165662636013407,-3.27099612277841,-3.73890893605172,-3.00713422273495,-3.63216585845634,25.9693044450766,23.4763079018944,2.49299654318224
10,A,-2.76234438420312,-2.52796949040911,-0.234374893794005,-2.76234438420312,NaN,-2.52796949040911,NaN,28.1034139825084,24.4475939233717,3.65582005913667
10,B,-2.79556641989151,-2.41562376308188,-0.379942656809629,-2.73258348100939,-2.90053798469503,-2.29089602791448,-2.6235033216942,27.6379565721749,23.9056326453945,3.7323239267804
10,C,-3.04595564411693,-2.65673649811957,-0.389219145997357,-2.79465548463408,-3.19673573980664,-2.62343941584336,-2.6767147474853,25.9693044450766,23.4763079018944,2.49299654318224
