inc_ang_deg,rssd_mean_dB,rssd_std_dB,rssd_p10_dB,rssd_p90_dB
-90,-4.15857181351434,0.0397979052117615,-4.22230296988837,-4.11580160583224
-88,-3.90707561124844,0.0398149629170755,-3.97083412260086,-3.86428713866337
-86,-3.67278209360914,0.0398661027512185,-3.73662261831568,-3.62993886531592
-84,-3.45504326653254,0.0399512250399232,-3.51902030262262,-3.41210889851067
-82,-3.2531981302706,0.040070163887835,-3.31736590995375,-3.21013641711379
-80,-3.0694690281449,0.0402226879474943,-3.13388141612046,-3.02624401530006
-78,-2.90225805565644,0.0404085007286374,-2.96696844123801,-2.85883410836709
-76,-2.75309580711344,0.0406272417250455,-2.81815700369009,-2.70943768077731
-74,-2.6197180201687,0.0408784873656492,-2.68518216567402,-2.57579092837855
-72,-2.50533052917529,0.0411617523273448,-2.57124898443485,-2.46110020955894
-70,-2.40745924257601,0.0414764908763104,-2.47388249716934,-2.36289202151375
-68,-2.32726664511083,0.0418220985081784,-2.39424422130794,-2.28232950302753
-66,-2.26523156536035,0.0421979137636401,-2.33281193006952,-2.21989219578128
-64,-2.22044999282088,0.0426032199938702,-2.28868046575855,-2.17467686462224
-62,-2.19336288448979,0.0430372475463604,-2.26228955518721,-2.14712529590277
-60,-2.18421534150621,0.0434991760500896,-2.2538829880845,-2.13748347644158
-58,-2.19308591983212,0.043988136608419,-2.26353793077476,-2.14583089966719
-56,-2.21989756825382,0.0445032145216615,-2.29117586974659,-2.17209150023696
-54,-2.26440331823197,0.0450434515173748,-2.33654830340342,-2.2160193439074
-52,-2.32671178756045,0.0456078489382164,-2.39976225151411,-2.27772412346027
-50,-2.4082792487774,0.04619537027099,-2.482272329082,-2.35866322787831
-48,-2.50779114376705,0.0468049440375644,-2.58276226220465,-2.45752325439992
-46,-2.62311685456333,0.0474354669734104,-2.69909966880239,-2.57217477193378
-44,-2.75984438357882,0.0480858070074054,-2.83687073949417,-2.70820700044037
-42,-2.91140958125775,0.0487548062120201,-2.98950946824389,-2.85905703649391
-40,-3.08368035396489,0.0494412841497179,-3.16288187402596,-3.03059405468832
-38,-3.27194414685091,0.0501440410633873,-3.35227347940954,-3.21810679100974
-36,-3.47881934329855,0.0508618609588959,-3.56030072036415,-3.42421493355948
-34,-3.70274474921655,0.051593515032172,-3.78540043392561,-3.64735860850188
