x_coord [mm],y_coord [mm],pow1_mean,pow2_mean,inc_ang_sim_deg,rssd_sim_db,scenario,rssd_guide_interp_db,delta_db
750,-1750,1.0181144010089297e-06,7.798968782355237e-07,-66.80140948635182,1.1575939853676047,A,3.9429773455505077,-2.785383360182903
750,-1250,9.413205085398387e-07,4.90651348587966e-07,-59.03624346792648,2.8296452389066786,A,5.379266395267229,-2.5496211563605504
750,-750,1.6144454250950774e-06,5.228294186726386e-07,-45.0,4.896633520923018,A,7.9328958206078966,-3.0362622996848785
750,-250,5.822371051960857e-07,1.6344036639786005e-06,-18.43494882292201,-4.482594482252651,A,10.529141751250947,-15.011736233503598
750,250,2.1242720367310414e-06,2.3452756213108617e-06,18.43494882292201,-0.429837569509985,A,2.790945594673695,-3.22078316418368
750,750,3.970245116781487e-06,1.0730958922534779e-06,45.0,5.681787878405316,A,-7.2794329476226665,12.961220826027983
750,1250,1.9089525088746343e-06,2.0607371880904162e-07,59.03624346792648,9.667725156525869,A,-9.37368223429675,19.04140739082262
750,1750,1.2987037221069535e-06,1.192955210170672e-07,66.80140948635182,10.368859469585288,A,-10.366700742570027,20.735560212155313
1500,-1750,1.2894077808332887e-06,1.0684160666121931e-06,-49.398705354995535,0.8164987637412011,A,7.151557745556891,-6.33505898181569
1500,-1250,1.6866698417723344e-06,1.573127323679326e-06,-39.80557109226519,0.30266205274446634,A,8.791695739310788,-8.489033686566321
1500,-750,1.9294211804112106e-06,1.683669185617517e-06,-26.56505117707799,0.5917027818030363,A,10.315667334357181,-9.723964552554145
1500,-250,2.2170317547074422e-06,2.765976738218116e-06,-9.462322208025617,-0.9607660979444788,A,9.976673387273337,-10.937439485217816
1500,250,2.521780748414864e-06,2.2679621860551655e-06,9.462322208025617,0.46071515695244614,A,5.975585426145386,-5.51487026919294
1500,750,2.827631924069783e-06,1.3110403143002869e-06,26.56505117707799,3.3380682982982464,A,-0.567009072519164,3.9050773708174105
1500,1250,2.1685278938121614e-06,5.546698072537162e-07,39.80557109226519,5.9213048660436485,A,-5.801353866623025,11.722658732666673
1500,1750,2.2072680439648568e-06,3.5267159042747814e-07,49.398705354995535,7.96484599428473,A,-8.166337467243098,16.131183461527826
2250,-1750,1.6045443142349636e-06,9.761459025314424e-07,-37.874983651098205,2.1583698029694105,A,9.083262009368497,-6.924892206399086
