tag_idx,x_m,y_m,range_m,inc_ang_deg,rssd_A_dB,rssd_B_dB,rssd_C_dB,std_across_scenarios_dB,span_across_scenarios_dB
1,0.75,-1.75,1.90394327646598,66.8014094863518,-1.61094728429239,-1.72894911460044,-1.4997575208339,0.114612668080547,0.229191593766537
2,1.5,-1.75,2.30488611432322,49.3987053549955,-1.37590841532498,-1.27649868817034,-1.4400205834472,0.0823934404642618,0.163521895276858
3,2.25,-1.75,2.85043856274785,37.8749836510982,-1.63365610878589,-1.57359364587663,1.99138280235177,2.0757958988918,3.62503891113766
4,3,-1.75,3.47311099736245,30.2564371635293,1.09056173342053,0.882602938058,1.5390958942772,0.33551273090338,0.656492956219203
5,3.75,-1.75,4.13823633931171,25.0168934781,0.924206417037716,0.318903160676918,1.72047254711043,0.702949562800627,1.40156938643351
6,4.5,-1.75,4.82830197895699,21.2505055071332,-1.91746036642474,-1.97897203579232,1.85765550645019,2.19753628855113,3.83662754224252
7,5.25,-1.75,5.53398590529466,18.434948822922,-5.68084092052596,-7.16009587881793,1.55597130502959,4.66421614659465,8.71606718384752
8,0.75,-1.25,1.45773797371133,59.0362434679265,-4.35810739727707,-4.29012819775147,-4.29836194183115,0.0371000574037084,0.0679791995255954
9,1.5,-1.25,1.95256241897666,39.8055710922652,-2.58851103278784,-2.45572155787604,-2.86444697894262,0.208498665404896,0.408725421066578
10,2.25,-1.25,2.57390753524675,29.0546040990771,-4.07090699657201,-3.99402861096812,-1.90036083296838,1.23157255160099,2.17054616360362
11,3,-1.25,3.25,22.6198649480404,-2.82170671656064,-3.31917158715924,0.197780562425244,1.90323089980802,3.51695214958448
12,3.75,-1.25,3.95284707521047,18.434948822922,-2.72668668488701,-2.73336955997649,-3.82748727840628,0.633627149735795,1.10080059351927
13,4.5,-1.25,4.67038542306735,15.5241109967543,-2.90451869421734,-1.22618512020464,2.07113123234937,2.53134321741843,4.97564992656671
14,5.25,-1.25,5.39675828623073,13.3924977537511,-0.7412165698723,-1.23950150897099,-3.68528764782759,1.57573856913769,2.94407107795529
15,0.75,-0.75,1.06066017177982,45,-4.28417306492565,-3.97459012543053,-4.54271599743235,0.284444795702504,0.568125872001822
16,1.5,-0.75,1.67705098312484,26.565051177078,-3.91117745556327,-3.58733486409086,-4.14773926075707,0.281332721029431,0.560404396666215
17,2.25,-0.75,2.37170824512628,18.434948822922,-3.65244510518658,-3.45894013175541,-1.395421299897,1.25098032237527,2.25702380528958
18,3,-0.75,3.09232921921325,14.0362434679265,-1.39817928479587,-1.9940993164204,1.59471512535545,1.92319728282121,3.58881444177585
19,3.75,-0.75,3.82426463519459,11.3099324740202,0.170003736888454,-0.349934387492397,4.36699415707035,2.58632555100842,4.71692854456275
20,4.5,-0.75,4.56207189772366,9.46232220802562,-1.68210229724883,-2.11922555341896,-5.39275778692632,2.02797329814646,3.7106554896775
21,5.25,-0.75,5.30330085889911,8.13010235415598,-1.69250350631207,0.590335421993736,-2.68583966091224,1.67985085957446,3.27617508290598
22,0.75,-0.25,0.790569415042095,18.434948822922,-3.33867616425621,-3.23834383736621,-3.23077274121369,0.0602315615221883,0.107903423042522
23,1.5,-0.25,1.52069063257455,9.46232220802562,-3.08675024873285,-3.2229787340506,0.861033544654688,2.31958011186511,4.08401227870529
24,2.25,-0.25,2.26384628453435,6.34019174590991,-0.879535517233904,-1.34084212735643,8.52685810980587,5.56873044816396,9.8677002371623
25,3,-0.25,3.01039864469807,4.76364169072618,0.307806138059568,1.75455517684805,-1.74562032450054,1.75882875604849,3.50017550134859
26,3.75,-0.25,3.75832409459323,3.81407483429035,0.351384574650957,-0.0448896714725393,2.06168666836874,1.11951108417136,2.10657633984128
27,4.5,-0.25,4.50693909432999,3.17983011986423,0.737458373229387,0.68126850552482,-1.57584192752165,1.31966303083115,2.31330030075104
28,5.25,-0.25,5.25594901040716,2.72631099390627,-0.0740901641312135,1.16100118912666,-2.70126058143567,1.97250014942117,3.86226177056233
29,0.75,0.25,0.790569415042095,-18.434948822922,4.6872325897232,4.59629999651556,4.1381673028913,0.294286422463637,0.549065286831897
30,1.5,0.25,1.52069063257455,-9.46232220802562,2.11083453755371,2.00962864769348,1.81544774901946,0.150112295961404,0.295386788534245
31,2.25,0.25,2.26384628453435,-6.34019174590991,2.81502616807273,2.69615711186265,0.794253388936468,1.13393784726081,2.02077277913626
32,3,0.25,3.01039864469807,-4.76364169072618,2.31507681377256,1.33342101047453,3.63008804335414,1.15235860376233,2.29666703287961
33,3.75,0.25,3.75832409459323,-3.81407483429035,0.557999798013171,1.71851209271055,0.259767093458272,0.770678111043932,1.45874499925228
34,4.5,0.25,4.50693909432999,-3.17983011986423,1.46319660047966,-0.438949418111655,1.05255000761963,1.00094627205353,1.90214601859132
35,5.25,0.25,5.25594901040716,-2.72631099390627,0.831272664679311,1.18480147071714,-2.09803525094441,1.80198244637787,3.28283672166155
36,0.75,0.75,1.06066017177982,-45,6.61931175429232,6.47365180937559,6.67575571410772,0.104282251974117,0.202103904732127
37,1.5,0.75,1.67705098312484,-26.565051177078,5.74058017958343,5.76152423760205,6.3452410606814,0.343214889984468,0.604660881097963
38,2.25,0.75,2.37170824512628,-18.434948822922,5.43784780963712,5.53062130430848,5.43926034556294,0.0531597299876858,0.0927734946713556
39,3,0.75,3.09232921921325,-14.0362434679265,3.51661137960881,3.55987403959005,4.41720091943132,0.507927579464624,0.900589539822512
40,3.75,0.75,3.82426463519459,-11.3099324740202,3.01046669482096,3.26007999723541,1.44892068333899,0.981582973826058,1.81115931389642
41,4.5,0.75,4.56207189772366,-9.46232220802562,3.73144779303247,1.95790458584915,3.4674996531617,0.956904853816174,1.77354320718332
42,5.25,0.75,5.30330085889911,-8.13010235415598,2.5734827647595,2.59807927520398,2.59816316494578,0.0142250806493873,0.0246804001862841
43,0.75,1.25,1.45773797371133,-59.0362434679265,9.01474227627723,9.28040272627195,8.96591848652482,0.169243204780634,0.314484239747131
44,1.5,1.25,1.95256241897666,-39.8055710922652,7.39360814567816,7.45163462265823,7.19968920543477,0.131939456238923,0.251945417223453
45,2.25,1.25,2.57390753524675,-29.0546040990771,5.63005914693201,5.55756750558756,8.81760967590637,1.86161257897047,3.26004217031881
46,3,1.25,3.25,-22.6198649480404,5.2382766831569,5.36257663370293,4.07627194310327,0.709493393282788,1.28630469059966
47,3.75,1.25,3.95284707521047,-18.434948822922,4.54189205247855,2.95368973445505,2.65276988491588,1.01503053507424,1.88912216756267
48,4.5,1.25,4.67038542306735,-15.5241109967543,2.49875321111929,-1.3150022978156,1.07815744382891,1.92743512493514,3.81375550893488
49,5.25,1.25,5.39675828623073,-13.3924977537511,1.33199041096932,0.758307659901874,2.96476286474419,1.14480728768747,2.20645520484231
50,0.75,1.75,1.90394327646598,-66.8014094863518,3.52866236520777,3.72898365425377,4.18818934497267,0.338125795691361,0.659526979764905
51,1.5,1.75,2.30488611432322,-49.3987053549955,5.99851927924263,6.05662787480978,1.46901400162395,2.63204596332401,4.58761387318583
52,2.25,1.75,2.85043856274785,-37.8749836510982,4.1282229527438,4.11863008441563,-2.56625919801483,3.86229482752379,6.69448215075862
53,3,1.75,3.47311099736245,-30.2564371635293,2.37406544404785,2.47825364836429,0.493066311382663,1.11728701787843,1.98518733698162
54,3.75,1.75,4.13823633931171,-25.0168934781,4.46511106045622,3.45231937427899,7.22403504325295,1.95206077560888,3.77171566897396
55,4.5,1.75,4.82830197895699,-21.2505055071332,7.5198140478463,7.89141801438199,4.60811984978305,1.79796641832928,3.28329816459894
56,5.25,1.75,5.53398590529466,-18.434948822922,10.8058790603941,7.16603122537784,7.894800619749,1.92587533257971,3.63984783501631
